transcription_id,sentiment
40,"[[{'label': 'POSITIVE', 'score': 0.9986172914505005}], [{'label': 'NEGATIVE', 'score': 0.7258227467536926}], [{'label': 'POSITIVE', 'score': 0.9958556294441223}], [{'label': 'POSITIVE', 'score': 0.9796773791313171}], [{'label': 'POSITIVE', 'score': 0.9984777569770813}], [{'label': 'POSITIVE', 'score': 0.9995482563972473}], [{'label': 'NEGATIVE', 'score': 0.9953578114509583}], [{'label': 'POSITIVE', 'score': 0.9964404702186584}], [{'label': 'POSITIVE', 'score': 0.9908229112625122}], [{'label': 'POSITIVE', 'score': 0.9983304142951965}], [{'label': 'NEGATIVE', 'score': 0.9894446730613708}], [{'label': 'POSITIVE', 'score': 0.6395611763000488}], [{'label': 'POSITIVE', 'score': 0.998319685459137}], [{'label': 'POSITIVE', 'score': 0.9996744394302368}], [{'label': 'POSITIVE', 'score': 0.9983140230178833}], [{'label': 'POSITIVE', 'score': 0.9994816184043884}], [{'label': 'POSITIVE', 'score': 0.9993886947631836}], [{'label': 'POSITIVE', 'score': 0.9984353184700012}], [{'label': 'POSITIVE', 'score': 0.9835168719291687}], [{'label': 'POSITIVE', 'score': 0.9995595812797546}], [{'label': 'POSITIVE', 'score': 0.9994913339614868}], [{'label': 'POSITIVE', 'score': 0.9997100234031677}], [{'label': 'POSITIVE', 'score': 0.9995467066764832}], [{'label': 'POSITIVE', 'score': 0.9992547631263733}], [{'label': 'POSITIVE', 'score': 0.9993742108345032}], [{'label': 'POSITIVE', 'score': 0.9962241649627686}], [{'label': 'POSITIVE', 'score': 0.9982326030731201}], [{'label': 'NEGATIVE', 'score': 0.9904031753540039}], [{'label': 'POSITIVE', 'score': 0.9988497495651245}], [{'label': 'NEGATIVE', 'score': 0.9688675403594971}], [{'label': 'POSITIVE', 'score': 0.9961192607879639}], [{'label': 'POSITIVE', 'score': 0.9961923360824585}], [{'label': 'NEGATIVE', 'score': 0.9765719175338745}], [{'label': 'POSITIVE', 'score': 0.9958613514900208}], [{'label': 'POSITIVE', 'score': 0.9997507929801941}], [{'label': 'POSITIVE', 'score': 0.999864935874939}]]"
41,"[[{'label': 'POSITIVE', 'score': 0.9998493194580078}], [{'label': 'POSITIVE', 'score': 0.9995942711830139}], [{'label': 'POSITIVE', 'score': 0.9988975524902344}], [{'label': 'POSITIVE', 'score': 0.9998131394386292}], [{'label': 'POSITIVE', 'score': 0.9998425245285034}], [{'label': 'POSITIVE', 'score': 0.9998482465744019}], [{'label': 'POSITIVE', 'score': 0.9997233748435974}], [{'label': 'POSITIVE', 'score': 0.9997856020927429}], [{'label': 'POSITIVE', 'score': 0.9991926550865173}], [{'label': 'POSITIVE', 'score': 0.9990025162696838}], [{'label': 'POSITIVE', 'score': 0.9997121691703796}], [{'label': 'POSITIVE', 'score': 0.998094379901886}], [{'label': 'POSITIVE', 'score': 0.9997805953025818}], [{'label': 'POSITIVE', 'score': 0.9995997548103333}], [{'label': 'POSITIVE', 'score': 0.9998302459716797}], [{'label': 'POSITIVE', 'score': 0.9997816681861877}], [{'label': 'POSITIVE', 'score': 0.9972502589225769}], [{'label': 'POSITIVE', 'score': 0.9997120499610901}], [{'label': 'POSITIVE', 'score': 0.9997753500938416}]]"
42,"[[{'label': 'POSITIVE', 'score': 0.9990100860595703}], [{'label': 'POSITIVE', 'score': 0.9889361262321472}], [{'label': 'NEGATIVE', 'score': 0.9948922395706177}], [{'label': 'POSITIVE', 'score': 0.9946085214614868}], [{'label': 'NEGATIVE', 'score': 0.9989334940910339}], [{'label': 'NEGATIVE', 'score': 0.9675942659378052}], [{'label': 'POSITIVE', 'score': 0.999016284942627}], [{'label': 'POSITIVE', 'score': 0.9962261915206909}], [{'label': 'POSITIVE', 'score': 0.9997007846832275}], [{'label': 'POSITIVE', 'score': 0.999695897102356}], [{'label': 'POSITIVE', 'score': 0.9940518736839294}], [{'label': 'POSITIVE', 'score': 0.9992154836654663}], [{'label': 'POSITIVE', 'score': 0.9966453909873962}], [{'label': 'POSITIVE', 'score': 0.999427855014801}], [{'label': 'POSITIVE', 'score': 0.9991196990013123}], [{'label': 'POSITIVE', 'score': 0.9996249675750732}]]"
43,"[[{'label': 'POSITIVE', 'score': 0.9998520612716675}], [{'label': 'POSITIVE', 'score': 0.9915784597396851}], [{'label': 'POSITIVE', 'score': 0.9997699856758118}], [{'label': 'POSITIVE', 'score': 0.9997894167900085}]]"
44,"[[{'label': 'POSITIVE', 'score': 0.9983426332473755}], [{'label': 'POSITIVE', 'score': 0.9996435642242432}], [{'label': 'POSITIVE', 'score': 0.9989724159240723}], [{'label': 'POSITIVE', 'score': 0.9997567534446716}], [{'label': 'POSITIVE', 'score': 0.9998154044151306}], [{'label': 'POSITIVE', 'score': 0.9997583031654358}], [{'label': 'POSITIVE', 'score': 0.9998611211776733}]]"
45,"[[{'label': 'POSITIVE', 'score': 0.9983015060424805}], [{'label': 'POSITIVE', 'score': 0.8708198070526123}], [{'label': 'POSITIVE', 'score': 0.9997451901435852}], [{'label': 'POSITIVE', 'score': 0.99660325050354}], [{'label': 'POSITIVE', 'score': 0.9989500641822815}], [{'label': 'POSITIVE', 'score': 0.9986227750778198}], [{'label': 'POSITIVE', 'score': 0.9918935298919678}], [{'label': 'POSITIVE', 'score': 0.9994077682495117}], [{'label': 'POSITIVE', 'score': 0.9992166757583618}], [{'label': 'NEGATIVE', 'score': 0.9924182891845703}], [{'label': 'POSITIVE', 'score': 0.9967754483222961}], [{'label': 'POSITIVE', 'score': 0.9994805455207825}], [{'label': 'POSITIVE', 'score': 0.9965795874595642}], [{'label': 'POSITIVE', 'score': 0.9997690320014954}], [{'label': 'POSITIVE', 'score': 0.9997798800468445}], [{'label': 'POSITIVE', 'score': 0.9995757937431335}]]"
46,"[[{'label': 'POSITIVE', 'score': 0.6617445945739746}], [{'label': 'NEGATIVE', 'score': 0.9140563607215881}], [{'label': 'POSITIVE', 'score': 0.9971067309379578}], [{'label': 'NEGATIVE', 'score': 0.7617374062538147}], [{'label': 'NEGATIVE', 'score': 0.991036057472229}], [{'label': 'NEGATIVE', 'score': 0.7679042220115662}], [{'label': 'NEGATIVE', 'score': 0.9864124059677124}], [{'label': 'POSITIVE', 'score': 0.9967664480209351}], [{'label': 'POSITIVE', 'score': 0.9967813491821289}], [{'label': 'NEGATIVE', 'score': 0.942858874797821}], [{'label': 'POSITIVE', 'score': 0.9981454610824585}], [{'label': 'NEGATIVE', 'score': 0.9987566471099854}], [{'label': 'NEGATIVE', 'score': 0.9610736966133118}], [{'label': 'POSITIVE', 'score': 0.889724850654602}], [{'label': 'NEGATIVE', 'score': 0.8134424090385437}], [{'label': 'POSITIVE', 'score': 0.9811294674873352}], [{'label': 'NEGATIVE', 'score': 0.9978237152099609}], [{'label': 'NEGATIVE', 'score': 0.5074687600135803}], [{'label': 'POSITIVE', 'score': 0.8928971290588379}], [{'label': 'NEGATIVE', 'score': 0.9716717004776001}], [{'label': 'POSITIVE', 'score': 0.889548122882843}], [{'label': 'NEGATIVE', 'score': 0.790437638759613}], [{'label': 'NEGATIVE', 'score': 0.9981729984283447}], [{'label': 'NEGATIVE', 'score': 0.6422980427742004}]]"
47,"[[{'label': 'NEGATIVE', 'score': 0.9743399620056152}], [{'label': 'NEGATIVE', 'score': 0.9796046018600464}]]"
48,"[[{'label': 'NEGATIVE', 'score': 0.9709618091583252}], [{'label': 'POSITIVE', 'score': 0.9978975057601929}], [{'label': 'NEGATIVE', 'score': 0.9886109232902527}]]"
49,"[[{'label': 'POSITIVE', 'score': 0.9985781908035278}], [{'label': 'POSITIVE', 'score': 0.9612593054771423}], [{'label': 'POSITIVE', 'score': 0.9940598011016846}], [{'label': 'POSITIVE', 'score': 0.9997908473014832}], [{'label': 'POSITIVE', 'score': 0.997157096862793}], [{'label': 'POSITIVE', 'score': 0.9910079836845398}], [{'label': 'POSITIVE', 'score': 0.9997773766517639}], [{'label': 'POSITIVE', 'score': 0.9814618229866028}], [{'label': 'POSITIVE', 'score': 0.9886399507522583}], [{'label': 'POSITIVE', 'score': 0.9998096823692322}], [{'label': 'POSITIVE', 'score': 0.9995760321617126}], [{'label': 'POSITIVE', 'score': 0.998532772064209}], [{'label': 'NEGATIVE', 'score': 0.8949981927871704}], [{'label': 'POSITIVE', 'score': 0.9958691000938416}], [{'label': 'NEGATIVE', 'score': 0.9811691641807556}], [{'label': 'POSITIVE', 'score': 0.9987937211990356}], [{'label': 'NEGATIVE', 'score': 0.9239051342010498}], [{'label': 'POSITIVE', 'score': 0.999259889125824}], [{'label': 'POSITIVE', 'score': 0.9990121126174927}], [{'label': 'POSITIVE', 'score': 0.9971365928649902}], [{'label': 'POSITIVE', 'score': 0.9880964756011963}], [{'label': 'POSITIVE', 'score': 0.9907410144805908}], [{'label': 'NEGATIVE', 'score': 0.9955204725265503}], [{'label': 'POSITIVE', 'score': 0.998572587966919}], [{'label': 'POSITIVE', 'score': 0.9991986155509949}], [{'label': 'NEGATIVE', 'score': 0.9360599517822266}], [{'label': 'NEGATIVE', 'score': 0.9778737425804138}]]"
50,"[[{'label': 'POSITIVE', 'score': 0.9997624754905701}], [{'label': 'POSITIVE', 'score': 0.9602037668228149}], [{'label': 'POSITIVE', 'score': 0.9922716617584229}], [{'label': 'POSITIVE', 'score': 0.9893858432769775}], [{'label': 'NEGATIVE', 'score': 0.7459866404533386}], [{'label': 'NEGATIVE', 'score': 0.9932138919830322}], [{'label': 'POSITIVE', 'score': 0.996735155582428}], [{'label': 'POSITIVE', 'score': 0.9990625977516174}], [{'label': 'POSITIVE', 'score': 0.9959242343902588}], [{'label': 'POSITIVE', 'score': 0.9997598528862}], [{'label': 'POSITIVE', 'score': 0.9795997142791748}], [{'label': 'POSITIVE', 'score': 0.9996383190155029}], [{'label': 'POSITIVE', 'score': 0.9998103976249695}], [{'label': 'POSITIVE', 'score': 0.9953987002372742}], [{'label': 'POSITIVE', 'score': 0.9997933506965637}], [{'label': 'POSITIVE', 'score': 0.9786458611488342}], [{'label': 'POSITIVE', 'score': 0.9998606443405151}], [{'label': 'POSITIVE', 'score': 0.9997219443321228}], [{'label': 'POSITIVE', 'score': 0.9992668032646179}], [{'label': 'POSITIVE', 'score': 0.9972801208496094}], [{'label': 'POSITIVE', 'score': 0.9998302459716797}], [{'label': 'POSITIVE', 'score': 0.9997735619544983}], [{'label': 'POSITIVE', 'score': 0.9998573064804077}], [{'label': 'POSITIVE', 'score': 0.9998183846473694}], [{'label': 'POSITIVE', 'score': 0.9998326301574707}], [{'label': 'POSITIVE', 'score': 0.9997022747993469}]]"
51,"[[{'label': 'NEGATIVE', 'score': 0.9922546148300171}], [{'label': 'NEGATIVE', 'score': 0.9299737811088562}], [{'label': 'POSITIVE', 'score': 0.9921941757202148}], [{'label': 'POSITIVE', 'score': 0.9993864297866821}], [{'label': 'POSITIVE', 'score': 0.9997966885566711}], [{'label': 'POSITIVE', 'score': 0.9976406097412109}], [{'label': 'POSITIVE', 'score': 0.7031043767929077}], [{'label': 'POSITIVE', 'score': 0.9996614456176758}], [{'label': 'POSITIVE', 'score': 0.9984311461448669}], [{'label': 'POSITIVE', 'score': 0.9998821020126343}]]"
52,"[[{'label': 'POSITIVE', 'score': 0.9997631907463074}], [{'label': 'POSITIVE', 'score': 0.9997978806495667}], [{'label': 'POSITIVE', 'score': 0.9987496137619019}], [{'label': 'POSITIVE', 'score': 0.988857090473175}], [{'label': 'POSITIVE', 'score': 0.9993371367454529}], [{'label': 'POSITIVE', 'score': 0.9841337203979492}], [{'label': 'POSITIVE', 'score': 0.9898459911346436}], [{'label': 'POSITIVE', 'score': 0.9997726082801819}], [{'label': 'POSITIVE', 'score': 0.999617338180542}], [{'label': 'POSITIVE', 'score': 0.9003682136535645}], [{'label': 'NEGATIVE', 'score': 0.8273210525512695}], [{'label': 'POSITIVE', 'score': 0.9971718192100525}], [{'label': 'POSITIVE', 'score': 0.9986405968666077}], [{'label': 'POSITIVE', 'score': 0.9998093247413635}], [{'label': 'POSITIVE', 'score': 0.9934544563293457}], [{'label': 'POSITIVE', 'score': 0.9998563528060913}], [{'label': 'POSITIVE', 'score': 0.9998233914375305}], [{'label': 'POSITIVE', 'score': 0.9891486763954163}], [{'label': 'POSITIVE', 'score': 0.9989963173866272}], [{'label': 'POSITIVE', 'score': 0.9997208714485168}], [{'label': 'POSITIVE', 'score': 0.9996528625488281}], [{'label': 'POSITIVE', 'score': 0.9998074173927307}], [{'label': 'POSITIVE', 'score': 0.9990990161895752}], [{'label': 'POSITIVE', 'score': 0.9990528225898743}], [{'label': 'POSITIVE', 'score': 0.9877381324768066}], [{'label': 'POSITIVE', 'score': 0.9989058971405029}], [{'label': 'POSITIVE', 'score': 0.9992504715919495}], [{'label': 'POSITIVE', 'score': 0.9995251893997192}]]"
53,"[[{'label': 'POSITIVE', 'score': 0.9889810085296631}], [{'label': 'POSITIVE', 'score': 0.9992324113845825}], [{'label': 'POSITIVE', 'score': 0.9998295307159424}], [{'label': 'POSITIVE', 'score': 0.9998001456260681}], [{'label': 'NEGATIVE', 'score': 0.8636168241500854}], [{'label': 'POSITIVE', 'score': 0.9997043013572693}], [{'label': 'NEGATIVE', 'score': 0.9921389222145081}], [{'label': 'POSITIVE', 'score': 0.993462324142456}], [{'label': 'POSITIVE', 'score': 0.9995051622390747}], [{'label': 'POSITIVE', 'score': 0.9997305274009705}], [{'label': 'POSITIVE', 'score': 0.9998231530189514}], [{'label': 'POSITIVE', 'score': 0.9981523156166077}], [{'label': 'POSITIVE', 'score': 0.996921956539154}], [{'label': 'POSITIVE', 'score': 0.9435908198356628}], [{'label': 'POSITIVE', 'score': 0.9995536208152771}]]"
54,"[[{'label': 'POSITIVE', 'score': 0.9935352802276611}], [{'label': 'NEGATIVE', 'score': 0.9574709534645081}], [{'label': 'POSITIVE', 'score': 0.9996862411499023}], [{'label': 'POSITIVE', 'score': 0.9996377229690552}], [{'label': 'POSITIVE', 'score': 0.9953784942626953}], [{'label': 'POSITIVE', 'score': 0.9997518658638}], [{'label': 'POSITIVE', 'score': 0.6156144738197327}], [{'label': 'POSITIVE', 'score': 0.9997405409812927}], [{'label': 'POSITIVE', 'score': 0.9997501969337463}], [{'label': 'POSITIVE', 'score': 0.997520387172699}], [{'label': 'POSITIVE', 'score': 0.9992578625679016}], [{'label': 'POSITIVE', 'score': 0.6699219942092896}], [{'label': 'POSITIVE', 'score': 0.998474657535553}], [{'label': 'POSITIVE', 'score': 0.772249162197113}], [{'label': 'POSITIVE', 'score': 0.9995902180671692}], [{'label': 'POSITIVE', 'score': 0.9994982481002808}], [{'label': 'POSITIVE', 'score': 0.9971563816070557}], [{'label': 'POSITIVE', 'score': 0.9967520236968994}], [{'label': 'POSITIVE', 'score': 0.9958375692367554}], [{'label': 'POSITIVE', 'score': 0.9994545578956604}], [{'label': 'POSITIVE', 'score': 0.9891589283943176}], [{'label': 'NEGATIVE', 'score': 0.9090283513069153}], [{'label': 'NEGATIVE', 'score': 0.8476828932762146}], [{'label': 'POSITIVE', 'score': 0.9978452920913696}], [{'label': 'POSITIVE', 'score': 0.999321699142456}], [{'label': 'POSITIVE', 'score': 0.9982611536979675}], [{'label': 'POSITIVE', 'score': 0.9964562058448792}], [{'label': 'POSITIVE', 'score': 0.9795786142349243}], [{'label': 'POSITIVE', 'score': 0.6819714307785034}], [{'label': 'POSITIVE', 'score': 0.9997380375862122}], [{'label': 'POSITIVE', 'score': 0.9500486254692078}], [{'label': 'POSITIVE', 'score': 0.9979751706123352}], [{'label': 'POSITIVE', 'score': 0.9990507960319519}], [{'label': 'POSITIVE', 'score': 0.9924768805503845}], [{'label': 'POSITIVE', 'score': 0.9744028449058533}], [{'label': 'NEGATIVE', 'score': 0.8898637890815735}], [{'label': 'POSITIVE', 'score': 0.9991503953933716}], [{'label': 'POSITIVE', 'score': 0.98419189453125}], [{'label': 'NEGATIVE', 'score': 0.7999718189239502}], [{'label': 'POSITIVE', 'score': 0.999736487865448}], [{'label': 'POSITIVE', 'score': 0.9959636926651001}], [{'label': 'POSITIVE', 'score': 0.9997270703315735}], [{'label': 'NEGATIVE', 'score': 0.9912042021751404}], [{'label': 'POSITIVE', 'score': 0.9996205568313599}], [{'label': 'POSITIVE', 'score': 0.9844963550567627}], [{'label': 'POSITIVE', 'score': 0.9986328482627869}], [{'label': 'POSITIVE', 'score': 0.9786227941513062}], [{'label': 'NEGATIVE', 'score': 0.7685587406158447}], [{'label': 'POSITIVE', 'score': 0.9996840953826904}], [{'label': 'POSITIVE', 'score': 0.9938368201255798}], [{'label': 'POSITIVE', 'score': 0.99641352891922}], [{'label': 'NEGATIVE', 'score': 0.9866164922714233}], [{'label': 'POSITIVE', 'score': 0.9989776611328125}], [{'label': 'NEGATIVE', 'score': 0.9446486830711365}], [{'label': 'POSITIVE', 'score': 0.9981871247291565}], [{'label': 'POSITIVE', 'score': 0.9641398787498474}], [{'label': 'POSITIVE', 'score': 0.9983868598937988}], [{'label': 'NEGATIVE', 'score': 0.9820661544799805}], [{'label': 'POSITIVE', 'score': 0.9874811768531799}], [{'label': 'POSITIVE', 'score': 0.9996753931045532}]]"
55,"[[{'label': 'POSITIVE', 'score': 0.9993327260017395}], [{'label': 'POSITIVE', 'score': 0.9686883687973022}], [{'label': 'POSITIVE', 'score': 0.9982693195343018}], [{'label': 'NEGATIVE', 'score': 0.9869072437286377}], [{'label': 'POSITIVE', 'score': 0.9996374845504761}], [{'label': 'POSITIVE', 'score': 0.997820258140564}], [{'label': 'POSITIVE', 'score': 0.9936810731887817}], [{'label': 'POSITIVE', 'score': 0.9922890067100525}], [{'label': 'POSITIVE', 'score': 0.963687002658844}], [{'label': 'NEGATIVE', 'score': 0.9934031367301941}], [{'label': 'POSITIVE', 'score': 0.785284698009491}], [{'label': 'POSITIVE', 'score': 0.9985547661781311}], [{'label': 'NEGATIVE', 'score': 0.742800235748291}], [{'label': 'POSITIVE', 'score': 0.9907034635543823}], [{'label': 'NEGATIVE', 'score': 0.7494286298751831}], [{'label': 'POSITIVE', 'score': 0.9927675724029541}], [{'label': 'POSITIVE', 'score': 0.9989799857139587}], [{'label': 'POSITIVE', 'score': 0.999855637550354}], [{'label': 'POSITIVE', 'score': 0.9992780089378357}], [{'label': 'NEGATIVE', 'score': 0.9830065369606018}], [{'label': 'POSITIVE', 'score': 0.9995087385177612}], [{'label': 'NEGATIVE', 'score': 0.9778646230697632}], [{'label': 'POSITIVE', 'score': 0.9934282898902893}], [{'label': 'POSITIVE', 'score': 0.998383641242981}], [{'label': 'POSITIVE', 'score': 0.9988757967948914}], [{'label': 'POSITIVE', 'score': 0.9997106194496155}], [{'label': 'POSITIVE', 'score': 0.9979009628295898}], [{'label': 'POSITIVE', 'score': 0.9997931122779846}], [{'label': 'POSITIVE', 'score': 0.9920952916145325}], [{'label': 'POSITIVE', 'score': 0.9996509552001953}], [{'label': 'POSITIVE', 'score': 0.702566921710968}]]"
56,"[[{'label': 'NEGATIVE', 'score': 0.9835178852081299}], [{'label': 'POSITIVE', 'score': 0.9387571215629578}], [{'label': 'POSITIVE', 'score': 0.9970207810401917}], [{'label': 'POSITIVE', 'score': 0.999314546585083}], [{'label': 'POSITIVE', 'score': 0.9989209175109863}], [{'label': 'POSITIVE', 'score': 0.9922622442245483}], [{'label': 'POSITIVE', 'score': 0.870133638381958}], [{'label': 'POSITIVE', 'score': 0.9991551637649536}], [{'label': 'POSITIVE', 'score': 0.999438464641571}], [{'label': 'POSITIVE', 'score': 0.9986411929130554}], [{'label': 'POSITIVE', 'score': 0.9998530149459839}], [{'label': 'POSITIVE', 'score': 0.9997062087059021}], [{'label': 'POSITIVE', 'score': 0.99970942735672}], [{'label': 'POSITIVE', 'score': 0.999167799949646}], [{'label': 'POSITIVE', 'score': 0.9995999932289124}]]"
